,names,gmm,kmeans
0,thermal_2020-02-13_1581565208_0_0.png,2,0
1,thermal_2020-06-10_1591748527_0_0.png,1,3
2,thermal_2020-02-15_1581793628_0_0.png,2,0
3,thermal_2019-08-17_1566057619_0_0.png,0,2
4,thermal_2020-05-31_1590900248_0_0.png,1,3
5,thermal_2020-11-16_1605516908_0_0.png,0,2
6,thermal_2021-06-10_1623329419_0_0.png,0,2
7,thermal_2020-09-25_1600997108_0_0.png,0,1
8,thermal_2020-01-03_1578067327_0_0.png,2,0
9,thermal_2020-08-18_1597751168_0_0.png,0,2
10,thermal_2020-05-11_1589210707_0_0.png,1,3
11,thermal_2020-11-16_1605553027_0_0.png,0,1
12,thermal_2021-06-11_1623408619_0_0.png,0,1
13,thermal_2019-08-15_1565821807_0_0.png,0,1
14,thermal_2020-12-30_1609336867_0_0.png,0,1
15,thermal_2020-07-31_1596197528_0_0.png,1,2
16,thermal_2019-09-04_1567628707_0_0.png,0,1
17,thermal_2019-09-04_1567576519_0_0.png,0,2
18,thermal_2020-11-02_1604325668_0_0.png,0,2
19,thermal_2020-04-26_1587876187_0_0.png,2,3
20,thermal_2020-07-23_1595456947_0_0.png,1,3
21,thermal_2020-06-20_1592689388_0_0.png,1,3
22,thermal_2020-09-09_1599660968_0_0.png,1,3
23,thermal_2019-09-07_1567848438_0_0.png,0,2
24,thermal_2020-09-09_1599622988_0_0.png,0,1
25,thermal_2020-02-24_1582541708_0_0.png,3,0
26,thermal_2020-09-04_1599196754_0_0.png,0,2
27,thermal_2019-08-17_1565996475_0_0.png,0,1
28,thermal_2019-06-29_1561813268_0_0.png,0,1
29,thermal_2020-08-30_1598809388_0_0.png,0,1
30,thermal_2020-05-18_1589788088_0_0.png,1,3
31,thermal_2021-05-31_1622424608_0_0.png,0,1
32,thermal_2020-02-11_1581424575_0_0.png,3,0
33,thermal_2020-07-05_1593957908_0_0.png,3,0
34,thermal_2019-10-23_1571866688_0_0.png,2,0
35,thermal_2020-09-02_1599025687_0_0.png,0,1
36,thermal_2020-07-25_1595640608_0_0.png,1,3
37,thermal_2020-04-08_1586299507_0_0.png,2,0
38,thermal_2020-09-11_1599832507_0_0.png,0,2
39,thermal_2020-07-22_1595428515_0_0.png,1,3
40,thermal_2020-06-16_1592279287_0_0.png,1,3
41,thermal_2021-05-26_1621998607_0_0.png,0,1
42,thermal_2020-09-09_1599650594_0_0.png,1,3
43,thermal_2020-04-09_1586402588_0_0.png,2,3
44,thermal_2019-08-25_1566742399_0_0.png,1,3
45,thermal_2019-12-06_1575602595_0_0.png,2,0
46,thermal_2020-03-13_1584116288_0_0.png,1,3
47,thermal_2020-01-20_1579531027_0_0.png,1,3
48,thermal_2020-08-27_1598519228_0_0.png,1,2
49,thermal_2020-08-11_1597180868_0_0.png,0,1
50,thermal_2019-10-11_1570757527_0_0.png,0,1
51,thermal_2020-03-28_1585394594_0_0.png,3,0
52,thermal_2021-02-19_1613762408_0_0.png,0,1
53,thermal_2019-10-20_1571578208_0_0.png,0,2
54,thermal_2020-05-18_1589817787_0_0.png,1,3
55,thermal_2020-04-27_1587992527_0_0.png,3,0
56,thermal_2019-08-05_1565036407_0_0.png,0,1
57,thermal_2020-12-16_1608118328_0_0.png,1,3
58,thermal_2020-03-24_1585072028_0_0.png,2,0
59,thermal_2020-01-18_1579362427_0_0.png,2,0
60,thermal_2020-06-25_1593071595_0_0.png,1,3
61,thermal_2020-08-20_1597919047_0_0.png,1,2
62,thermal_2020-06-25_1593072787_0_0.png,1,3
63,thermal_2019-09-10_1568146267_0_0.png,0,1
64,thermal_2020-12-10_1607615227_0_0.png,0,1
65,thermal_2020-05-21_1590088574_0_0.png,1,3
66,thermal_2020-08-24_1598263628_0_0.png,1,2
67,thermal_2020-11-19_1605766448_0_0.png,0,1
68,thermal_2020-06-29_1593455527_0_0.png,1,3
69,thermal_2019-08-12_1565638661_0_0.png,0,1
70,thermal_2020-03-28_1585363208_0_0.png,2,0
71,thermal_2020-12-22_1608631568_0_0.png,0,2
72,thermal_2020-02-12_1581518227_0_0.png,3,0
73,thermal_2020-12-03_1607024647_0_0.png,0,1
74,thermal_2020-06-19_1592529307_0_0.png,2,3
75,thermal_2019-12-14_1576310948_0_0.png,2,0
76,thermal_2020-02-29_1582980007_0_0.png,3,0
77,thermal_2020-03-19_1584584168_0_0.png,2,0
78,thermal_2020-07-04_1593846967_0_0.png,1,3
79,thermal_2019-07-01_1561939088_0_0.png,0,1
80,thermal_2020-07-19_1595130608_0_0.png,1,3
81,thermal_2020-07-26_1595749927_0_0.png,1,3
82,thermal_2021-01-12_1610432408_0_0.png,0,1
83,thermal_2020-03-27_1585319468_0_0.png,3,0
84,thermal_2020-03-21_1584749408_0_0.png,2,0
85,thermal_2020-04-07_1586233688_0_0.png,2,3
86,thermal_2020-07-23_1595526488_0_0.png,1,3
87,thermal_2019-12-16_1576464968_0_0.png,2,3
88,thermal_2019-09-17_1568731388_0_0.png,0,2
89,thermal_2020-11-07_1604720587_0_0.png,0,1
90,thermal_2020-04-08_1586340967_0_0.png,3,0
91,thermal_2019-08-12_1565614760_0_0.png,0,2
92,thermal_2020-11-03_1604364074_0_0.png,0,1
93,thermal_2020-06-24_1592989215_0_0.png,1,3
94,thermal_2020-08-10_1597070768_0_0.png,0,2
95,thermal_2020-05-24_1590348308_0_0.png,1,3
96,thermal_2020-01-19_1579424654_0_0.png,3,0
97,thermal_2019-11-24_1574620568_0_0.png,2,0
