Img name,Clusters kmeans,Clusters gmm
thermal_2020-02-13_1581565208_0_0.png,0,2
thermal_2020-06-10_1591748527_0_0.png,3,1
thermal_2020-02-15_1581793628_0_0.png,0,2
thermal_2019-08-17_1566057619_0_0.png,2,0
thermal_2020-05-31_1590900248_0_0.png,3,1
thermal_2020-11-16_1605516908_0_0.png,2,0
thermal_2021-06-10_1623329419_0_0.png,2,0
thermal_2020-09-25_1600997108_0_0.png,1,0
thermal_2020-01-03_1578067327_0_0.png,0,2
thermal_2020-08-18_1597751168_0_0.png,2,0
thermal_2020-05-11_1589210707_0_0.png,3,1
thermal_2020-11-16_1605553027_0_0.png,1,0
thermal_2021-06-11_1623408619_0_0.png,1,0
thermal_2019-08-15_1565821807_0_0.png,1,0
thermal_2020-12-30_1609336867_0_0.png,1,0
thermal_2020-07-31_1596197528_0_0.png,2,1
thermal_2019-09-04_1567628707_0_0.png,1,0
thermal_2019-09-04_1567576519_0_0.png,2,0
thermal_2020-11-02_1604325668_0_0.png,2,0
thermal_2020-04-26_1587876187_0_0.png,3,2
thermal_2020-07-23_1595456947_0_0.png,3,1
thermal_2020-06-20_1592689388_0_0.png,3,1
thermal_2020-09-09_1599660968_0_0.png,3,1
thermal_2019-09-07_1567848438_0_0.png,2,0
thermal_2020-09-09_1599622988_0_0.png,1,0
thermal_2020-02-24_1582541708_0_0.png,0,3
thermal_2020-09-04_1599196754_0_0.png,2,0
thermal_2019-08-17_1565996475_0_0.png,1,0
thermal_2019-06-29_1561813268_0_0.png,1,0
thermal_2020-08-30_1598809388_0_0.png,1,0
thermal_2020-05-18_1589788088_0_0.png,3,1
thermal_2021-05-31_1622424608_0_0.png,1,0
thermal_2020-02-11_1581424575_0_0.png,0,3
thermal_2020-07-05_1593957908_0_0.png,0,3
thermal_2019-10-23_1571866688_0_0.png,0,2
thermal_2020-09-02_1599025687_0_0.png,1,0
thermal_2020-07-25_1595640608_0_0.png,3,1
thermal_2020-04-08_1586299507_0_0.png,0,2
thermal_2020-09-11_1599832507_0_0.png,2,0
thermal_2020-07-22_1595428515_0_0.png,3,1
thermal_2020-06-16_1592279287_0_0.png,3,1
thermal_2021-05-26_1621998607_0_0.png,1,0
thermal_2020-09-09_1599650594_0_0.png,3,1
thermal_2020-04-09_1586402588_0_0.png,3,2
thermal_2019-08-25_1566742399_0_0.png,3,1
thermal_2019-12-06_1575602595_0_0.png,0,2
thermal_2020-03-13_1584116288_0_0.png,3,1
thermal_2020-01-20_1579531027_0_0.png,3,1
thermal_2020-08-27_1598519228_0_0.png,2,1
thermal_2020-08-11_1597180868_0_0.png,1,0
thermal_2019-10-11_1570757527_0_0.png,1,0
thermal_2020-03-28_1585394594_0_0.png,0,3
thermal_2021-02-19_1613762408_0_0.png,1,0
thermal_2019-10-20_1571578208_0_0.png,2,0
thermal_2020-05-18_1589817787_0_0.png,3,1
thermal_2020-04-27_1587992527_0_0.png,0,3
thermal_2019-08-05_1565036407_0_0.png,1,0
thermal_2020-12-16_1608118328_0_0.png,3,1
thermal_2020-03-24_1585072028_0_0.png,0,2
thermal_2020-01-18_1579362427_0_0.png,0,2
thermal_2020-06-25_1593071595_0_0.png,3,1
thermal_2020-08-20_1597919047_0_0.png,2,1
thermal_2020-06-25_1593072787_0_0.png,3,1
thermal_2019-09-10_1568146267_0_0.png,1,0
thermal_2020-12-10_1607615227_0_0.png,1,0
thermal_2020-05-21_1590088574_0_0.png,3,1
thermal_2020-08-24_1598263628_0_0.png,2,1
thermal_2020-11-19_1605766448_0_0.png,1,0
thermal_2020-06-29_1593455527_0_0.png,3,1
thermal_2019-08-12_1565638661_0_0.png,1,0
thermal_2020-03-28_1585363208_0_0.png,0,2
thermal_2020-12-22_1608631568_0_0.png,2,0
thermal_2020-02-12_1581518227_0_0.png,0,3
thermal_2020-12-03_1607024647_0_0.png,1,0
thermal_2020-06-19_1592529307_0_0.png,3,2
thermal_2019-12-14_1576310948_0_0.png,0,2
thermal_2020-02-29_1582980007_0_0.png,0,3
thermal_2020-03-19_1584584168_0_0.png,0,2
thermal_2020-07-04_1593846967_0_0.png,3,1
thermal_2019-07-01_1561939088_0_0.png,1,0
thermal_2020-07-19_1595130608_0_0.png,3,1
thermal_2020-07-26_1595749927_0_0.png,3,1
thermal_2021-01-12_1610432408_0_0.png,1,0
thermal_2020-03-27_1585319468_0_0.png,0,3
thermal_2020-03-21_1584749408_0_0.png,0,2
thermal_2020-04-07_1586233688_0_0.png,3,2
thermal_2020-07-23_1595526488_0_0.png,3,1
thermal_2019-12-16_1576464968_0_0.png,3,2
thermal_2019-09-17_1568731388_0_0.png,2,0
thermal_2020-11-07_1604720587_0_0.png,1,0
thermal_2020-04-08_1586340967_0_0.png,0,3
thermal_2019-08-12_1565614760_0_0.png,2,0
thermal_2020-11-03_1604364074_0_0.png,1,0
thermal_2020-06-24_1592989215_0_0.png,3,1
thermal_2020-08-10_1597070768_0_0.png,2,0
thermal_2020-05-24_1590348308_0_0.png,3,1
thermal_2020-01-19_1579424654_0_0.png,0,3
thermal_2019-11-24_1574620568_0_0.png,0,2
thermal_2020-07-03_1593745568_0_0.png,3,1
thermal_2019-08-15_1565899748_0_0.png,1,0
thermal_2020-09-03_1599150548_0_0.png,2,0
thermal_2020-08-17_1597675688_0_0.png,2,0
thermal_2020-01-03_1578073268_0_0.png,0,2
thermal_2019-10-11_1570819102_0_0.png,1,0
thermal_2019-08-21_1566404899_0_0.png,2,0
thermal_2019-11-30_1575115688_0_0.png,0,3
thermal_2020-03-16_1584317288_0_0.png,0,2
thermal_2020-02-06_1581000914_0_0.png,3,1
thermal_2020-09-25_1601035207_0_0.png,1,0
thermal_2020-05-09_1589048047_0_0.png,3,1
thermal_2019-09-04_1567553288_0_0.png,1,0
thermal_2020-11-27_1606481228_0_0.png,2,3
thermal_2020-08-21_1598046308_0_0.png,1,0
thermal_2020-08-31_1598906827_0_0.png,1,0
thermal_2020-03-15_1584272588_0_0.png,0,3
thermal_2019-10-07_1570424762_0_0.png,1,0
thermal_2019-12-14_1576334228_0_0.png,0,2
thermal_2020-05-17_1589697908_0_0.png,3,1
thermal_2020-07-27_1595885528_0_0.png,3,1
thermal_2019-11-19_1574135407_0_0.png,3,2
thermal_2020-04-29_1588147448_0_0.png,2,1
thermal_2020-01-17_1579237507_0_0.png,0,2
thermal_2019-10-13_1570965908_0_0.png,2,1
thermal_2020-03-17_1584447667_0_0.png,0,3
thermal_2020-07-28_1595920808_0_0.png,3,1
thermal_2020-05-18_1589779267_0_0.png,3,1
thermal_2020-04-10_1586532908_0_0.png,3,1
thermal_2020-08-14_1597377367_0_0.png,1,0
thermal_2020-08-10_1597048034_0_0.png,2,0
thermal_2020-02-24_1582531868_0_0.png,0,3
thermal_2019-08-29_1567035067_0_0.png,1,0
thermal_2019-10-12_1570847107_0_0.png,1,0
thermal_2020-09-15_1600147695_0_0.png,1,0
thermal_2020-08-02_1596327908_0_0.png,1,0
thermal_2020-05-05_1588683368_0_0.png,0,3
thermal_2020-04-25_1587833048_0_0.png,3,1
thermal_2020-09-19_1600524968_0_0.png,2,0
thermal_2019-12-15_1576372568_0_0.png,0,2
thermal_2020-04-20_1587395467_0_0.png,0,3
thermal_2020-02-21_1582308907_0_0.png,0,2
thermal_2020-11-09_1604942467_0_0.png,1,0
thermal_2019-10-13_1571003467_0_0.png,1,0
thermal_2020-12-14_1607945227_0_0.png,2,0
thermal_2020-07-06_1594016168_0_0.png,2,1
thermal_2020-09-21_1600659427_0_0.png,1,0
thermal_2019-09-28_1569687068_0_0.png,2,0
thermal_2020-04-21_1587467227_0_0.png,3,1
thermal_2020-06-01_1591004228_0_0.png,3,1
thermal_2019-09-04_1567592846_0_0.png,2,0
thermal_2021-01-20_1611132967_0_0.png,2,0
thermal_2020-05-28_1590684187_0_0.png,2,1
thermal_2020-01-16_1579202107_0_0.png,0,2
thermal_2020-08-23_1598184248_0_0.png,3,1
thermal_2019-07-08_1562577619_0_0.png,2,0
thermal_2021-05-25_1621962607_0_0.png,2,0
thermal_2019-08-13_1565654647_0_0.png,1,0
thermal_2019-10-23_1571834587_0_0.png,2,3
thermal_2020-08-28_1598619608_0_0.png,2,0
thermal_2020-01-21_1579630568_0_0.png,3,2
thermal_2021-01-20_1611147368_0_0.png,2,0
thermal_2020-04-06_1586192708_0_0.png,3,1
thermal_2020-06-03_1591190647_0_0.png,3,1
thermal_2019-12-04_1575440948_0_0.png,0,2
thermal_2020-05-10_1589074514_0_0.png,3,2
thermal_2020-12-24_1608796327_0_0.png,1,0
thermal_2020-04-19_1587255788_0_0.png,3,2
thermal_2020-11-22_1606083128_0_0.png,1,0
thermal_2020-06-18_1592508128_0_0.png,3,2
thermal_2020-12-01_1606777987_0_0.png,1,0
thermal_2020-02-06_1580954347_0_0.png,3,2
thermal_2020-06-10_1591823587_0_0.png,3,1
thermal_2020-02-24_1582522327_0_0.png,3,2
thermal_2020-05-22_1590109328_0_0.png,3,2
thermal_2020-06-30_1593510067_0_0.png,3,1
thermal_2020-11-14_1605375188_0_0.png,1,0
thermal_2020-03-13_1584131167_0_0.png,3,2
thermal_2020-06-04_1591268708_0_0.png,3,1
thermal_2020-07-23_1595499368_0_0.png,3,1
thermal_2019-09-09_1568010019_0_0.png,2,0
thermal_2020-03-27_1585277888_0_0.png,0,2
thermal_2020-03-27_1585316287_0_0.png,0,3
thermal_2020-02-01_1580540588_0_0.png,0,2
thermal_2020-04-19_1587305234_0_0.png,3,1
thermal_2020-02-22_1582330574_0_0.png,0,2
thermal_2019-10-12_1570872908_0_0.png,2,0
thermal_2020-04-04_1586004248_0_0.png,0,3
thermal_2019-10-01_1569908588_0_0.png,2,0
thermal_2020-12-13_1607892968_0_0.png,3,2
thermal_2020-02-07_1581073987_0_0.png,0,3
thermal_2020-02-28_1582890788_0_0.png,0,3
thermal_2020-01-05_1578190028_0_0.png,0,2
thermal_2020-03-20_1584666667_0_0.png,0,2
thermal_2020-06-27_1593282795_0_0.png,3,1
thermal_2020-02-20_1582200014_0_0.png,0,3
thermal_2019-09-10_1568084348_0_0.png,1,0
thermal_2019-11-23_1574515148_0_0.png,0,3
thermal_2020-12-30_1609303388_0_0.png,1,0
thermal_2020-08-02_1596333847_0_0.png,1,0
thermal_2019-08-29_1567095140_0_0.png,2,0
thermal_2019-10-08_1570503907_0_0.png,1,0
thermal_2020-11-24_1606215368_0_0.png,3,1
thermal_2019-07-05_1562313739_0_0.png,2,0
thermal_2020-04-22_1587557887_0_0.png,0,3
thermal_2019-07-16_1563248774_0_0.png,1,0
thermal_2020-07-20_1595214008_0_0.png,3,1
thermal_2019-07-08_1562611459_0_0.png,1,0
thermal_2019-06-26_1561576939_0_0.png,1,0
thermal_2020-04-17_1587094868_0_0.png,3,2
thermal_2019-09-23_1569270855_0_0.png,1,0
thermal_2020-01-18_1579365015_0_0.png,0,2
thermal_2020-02-09_1581221768_0_0.png,0,2
thermal_2020-09-07_1599435008_0_0.png,1,0
thermal_2020-08-16_1597596368_0_0.png,2,0
thermal_2019-09-25_1569411668_0_0.png,2,0
thermal_2020-11-23_1606146848_0_0.png,1,0
thermal_2019-12-01_1575168608_0_0.png,0,3
thermal_2020-05-31_1590925088_0_0.png,3,1
thermal_2020-02-17_1581896527_0_0.png,0,2
thermal_2020-06-24_1593022088_0_0.png,3,1
thermal_2019-09-21_1569020648_0_0.png,1,0
thermal_2020-06-20_1592686515_0_0.png,3,1
thermal_2020-02-22_1582334587_0_0.png,0,2
thermal_2019-11-23_1574538248_0_0.png,0,2
thermal_2020-07-18_1595091548_0_0.png,3,1
thermal_2020-06-12_1591993447_0_0.png,3,2
thermal_2020-04-17_1587150367_0_0.png,3,1
thermal_2020-05-11_1589176628_0_0.png,3,1
thermal_2019-09-21_1569024307_0_0.png,1,0
thermal_2019-10-12_1570890488_0_0.png,2,0
thermal_2020-04-24_1587737474_0_0.png,0,3
thermal_2020-03-11_1583938448_0_0.png,3,1
thermal_2019-08-28_1567020869_0_0.png,1,0
thermal_2019-06-29_1561769827_0_0.png,1,0
thermal_2020-03-31_1585680067_0_0.png,3,2
thermal_2019-12-04_1575457748_0_0.png,0,3
thermal_2020-03-06_1583485034_0_0.png,0,3
thermal_2019-09-11_1568203279_0_0.png,2,0
thermal_2020-05-04_1588582687_0_0.png,3,3
thermal_2019-10-24_1571885055_0_0.png,3,2
thermal_2020-04-10_1586483295_0_0.png,3,2
thermal_2020-04-06_1586156468_0_0.png,3,1
thermal_2020-02-15_1581758948_0_0.png,0,3
thermal_2020-01-25_1579959967_0_0.png,0,3
thermal_2019-10-06_1570330148_0_0.png,1,0
thermal_2020-06-03_1591215907_0_0.png,3,2
thermal_2019-12-14_1576331654_0_0.png,0,2
thermal_2019-06-29_1561761728_0_0.png,1,0
thermal_2021-03-07_1615130419_0_0.png,2,0
thermal_2020-09-20_1600572847_0_0.png,1,0
thermal_2019-08-29_1567064959_0_0.png,2,0
thermal_2020-04-14_1586823967_0_0.png,3,1
thermal_2020-05-30_1590840488_0_0.png,3,1
thermal_2020-01-16_1579159387_0_0.png,0,2
thermal_2019-09-11_1568232735_0_0.png,1,0
thermal_2020-03-11_1583963535_0_0.png,3,2
thermal_2019-09-29_1569747847_0_0.png,2,0
thermal_2019-12-06_1575640807_0_0.png,0,3
thermal_2020-07-02_1593682027_0_0.png,3,1
thermal_2020-08-12_1597266127_0_0.png,0,3
thermal_2020-05-23_1590195608_0_0.png,3,1
thermal_2020-08-26_1598446568_0_0.png,3,1
thermal_2020-09-15_1600149908_0_0.png,2,0
thermal_2020-06-27_1593267728_0_0.png,0,3
thermal_2021-06-19_1624062607_0_0.png,1,0
thermal_2020-03-27_1585309035_0_0.png,0,3
thermal_2019-12-11_1576027808_0_0.png,0,2
thermal_2020-06-15_1592241247_0_0.png,3,1
thermal_2020-01-20_1579541527_0_0.png,3,2
thermal_2020-08-13_1597321328_0_0.png,2,0
thermal_2020-01-05_1578197048_0_0.png,0,2
thermal_2020-03-21_1584786308_0_0.png,0,3
thermal_2020-06-25_1593038227_0_0.png,3,1
thermal_2020-01-08_1578480667_0_0.png,0,3
thermal_2019-09-06_1567729628_0_0.png,1,0
thermal_2019-08-21_1566344648_0_0.png,1,0
thermal_2020-07-30_1596084968_0_0.png,1,0
thermal_2019-08-19_1566217399_0_0.png,2,0
thermal_2020-05-11_1589194207_0_0.png,3,1
thermal_2020-06-01_1591017307_0_0.png,0,3
thermal_2020-07-02_1593652868_0_0.png,3,1
thermal_2020-11-11_1605089287_0_0.png,3,1
thermal_2019-10-07_1570464067_0_0.png,1,0
thermal_2020-07-15_1594809307_0_0.png,3,1
thermal_2019-08-06_1565127008_0_0.png,1,0
thermal_2020-06-11_1591874828_0_0.png,3,1
thermal_2020-02-08_1581140947_0_0.png,0,2
thermal_2020-08-02_1596359408_0_0.png,2,0
thermal_2020-07-13_1594643888_0_0.png,3,1
thermal_2020-08-18_1597761668_0_0.png,2,0
thermal_2019-10-06_1570336807_0_0.png,1,0
thermal_2019-09-02_1567393807_0_0.png,1,0
thermal_2019-12-17_1576546208_0_0.png,1,0
thermal_2020-08-09_1596961808_0_0.png,2,0
thermal_2019-09-11_1568219600_0_0.png,2,0
thermal_2020-11-16_1605529568_0_0.png,2,0
thermal_2020-07-03_1593759847_0_0.png,3,1
thermal_2020-09-08_1599533228_0_0.png,1,0
thermal_2020-01-12_1578814028_0_0.png,0,2
thermal_2020-11-07_1604769188_0_0.png,1,0
thermal_2020-07-19_1595162828_0_0.png,3,3
thermal_2020-12-17_1608165068_0_0.png,1,0
thermal_2019-08-24_1566600668_0_0.png,1,0
thermal_2019-10-25_1572030368_0_0.png,3,2
thermal_2020-06-16_1592279227_0_0.png,3,1
thermal_2019-12-16_1576489687_0_0.png,0,3
thermal_2020-02-08_1581171488_0_0.png,0,3
thermal_2020-07-25_1595707508_0_0.png,3,1
thermal_2020-01-08_1578515648_0_0.png,0,2
thermal_2019-12-07_1575738248_0_0.png,0,2
thermal_2020-05-25_1590407235_0_0.png,3,1
thermal_2020-09-03_1599146108_0_0.png,2,0
thermal_2019-10-10_1570689248_0_0.png,2,0
thermal_2020-06-16_1592319188_0_0.png,0,3
thermal_2020-04-30_1588214234_0_0.png,0,2
thermal_2020-03-29_1585497007_0_0.png,3,1
thermal_2020-11-28_1606545967_0_0.png,1,0
thermal_2020-03-05_1583366708_0_0.png,0,2
thermal_2020-07-24_1595615707_0_0.png,3,1
thermal_2020-07-25_1595631967_0_0.png,3,1
thermal_2020-05-08_1588974907_0_0.png,3,2
thermal_2020-04-02_1585830307_0_0.png,0,3
thermal_2020-08-15_1597486087_0_0.png,2,1
thermal_2020-11-24_1606211655_0_0.png,2,1
thermal_2020-12-18_1608276608_0_0.png,2,0
thermal_2019-12-28_1577543115_0_0.png,0,3
